Date,High,Low,Open,Close,Volume,Adj Close,Month,Quarter,Year
2005-01-10,99.14914703,96.01100922,97.34734344,97.62762451,15064121,97.62762451,1,Quarter 1,2005
2005-01-11,98.9539566,96.68668365,97.90790558,96.86686707,13903483,96.86686707,1,Quarter 1,2005
2005-01-12,98.06306458,95.34534454,97.26226044,97.78778839,16339244,97.78778839,1,Quarter 1,2005
2005-01-13,98.79379272,97.12212372,97.78778839,97.76276398,13685101,97.76276398,1,Quarter 1,2005
2005-01-14,100.1051025,97.16216278,98.09809875,100.085083,19261319,100.085083,1,Quarter 1,2005
2005-01-18,102.6126099,99.4294281,100.5855865,102.0520554,26318855,102.0520554,1,Quarter 1,2005
2005-01-19,102.7527542,98.45345306,102.4274292,98.74874878,22492885,98.74874878,1,Quarter 1,2005
2005-01-20,98.22322083,96.09609222,96.34634399,97.05706024,17985197,97.05706024,1,Quarter 1,2005
2005-01-21,97.77777863,94.15415192,97.36737061,94.23423767,18498283,94.23423767,1,Quarter 1,2005
2005-01-24,94.759758,90.25025177,94.43943787,90.45044708,28017355,90.45044708,1,Quarter 1,2005
2005-01-25,91.21121216,88.23323059,91.06105804,88.64865112,21297082,88.64865112,1,Quarter 1,2005
2005-01-26,94.79979706,89.66466522,89.72472382,94.71471405,24591184,94.71471405,1,Quarter 1,2005
2005-01-27,94.5245285,92.69269562,94.47447205,94.13413239,13241545,94.13413239,1,Quarter 1,2005
2005-01-28,97.44744873,93.26325989,95.10510254,95.26526642,24391984,95.26526642,1,Quarter 1,2005
2005-01-31,98.27827454,95.95595551,96.94194031,97.90790558,19174207,97.90790558,1,Quarter 1,2005
2005-02-01,98.42842865,95.41040802,97.28728485,96.0460434,37640322,96.0460434,2,Quarter 1,2005
2005-02-02,108.5085068,101.9319305,107.8828812,103.0830841,65533001,103.0830841,2,Quarter 1,2005
2005-02-03,106.7917938,103.0080109,103.0980988,105.5355377,25950224,105.5355377,2,Quarter 1,2005
2005-02-04,103.978981,101.4013977,103.3383408,102.28228,29608961,102.28228,2,Quarter 1,2005
2005-02-07,103.3033066,97.85285187,102.7327347,98.1131134,25894879,98.1131134,2,Quarter 1,2005
2005-02-08,100.1101074,97.36236572,98.57858276,99.41941833,22937040,99.41941833,2,Quarter 1,2005
2005-02-09,100.9009018,94.82482147,100.4804764,95.88588715,34308657,95.88588715,2,Quarter 1,2005
